,Checking account,Duration,Credit history,Purpose,Credit amount,Savings account,Employment since,Installment rate,Status & sex,Debtors & guarantors,Residence since,Property,Age,Other installments,Housing,Existing credits,Job,Kept people,Phone,Foreign worker,Target
925,1,12,1,0,697,1,2,4,3,1,2,3,46,1,2,2,3,1,2,1,2
926,1,18,4,2,1049,1,2,4,2,1,4,2,21,2,1,1,3,1,1,1,1
927,1,48,2,1,10297,1,4,4,3,1,4,4,39,2,3,3,3,2,2,1,2
928,4,30,2,3,1867,5,5,4,3,1,4,3,58,2,2,1,3,1,2,1,1
929,1,12,3,0,1344,1,3,4,3,1,2,1,43,2,2,2,2,2,1,1,1
930,1,24,2,2,1747,1,2,4,3,2,1,2,24,2,2,1,2,1,1,2,1
931,2,9,2,3,1670,1,2,4,2,1,2,3,22,2,2,1,3,1,2,1,2
932,4,9,4,0,1224,1,3,3,3,1,1,1,30,2,2,2,3,1,1,1,1
933,4,12,4,3,522,3,5,4,3,1,4,2,42,2,2,2,3,2,2,1,1
934,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,1
935,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1,2
936,3,9,2,3,745,1,3,3,2,1,2,1,28,2,2,1,2,1,1,1,2
937,2,6,2,3,2063,1,2,4,4,1,3,3,30,2,1,1,4,1,2,1,1
938,2,60,2,6,6288,1,3,4,3,1,4,4,42,2,3,1,3,1,1,1,2
939,4,24,4,1,6842,5,3,2,3,1,4,2,46,2,2,2,4,2,2,1,1
940,4,12,2,0,3527,5,2,2,3,1,3,2,45,2,2,1,4,2,2,1,1
941,4,10,2,0,1546,1,3,3,3,1,2,1,31,2,2,1,2,2,1,2,1
942,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,1,1
943,4,4,4,0,1455,1,4,2,3,1,1,1,42,2,2,3,2,2,1,1,1
944,1,15,2,2,1845,1,2,4,2,3,1,2,46,2,1,1,3,1,1,1,1
945,2,48,0,0,8358,3,2,1,2,1,1,3,30,2,2,2,3,1,1,1,1
946,1,24,1,2,3349,3,2,4,3,1,4,4,30,2,3,1,3,2,2,1,2
947,4,12,2,0,2859,5,1,4,3,1,4,4,38,2,2,1,4,1,2,1,1
948,4,18,2,2,1533,1,2,4,4,2,1,2,43,2,2,1,2,2,1,1,2
949,4,24,2,3,3621,2,5,2,3,1,4,3,31,2,2,2,3,1,1,1,2
950,2,18,4,9,3590,1,1,3,4,1,3,3,40,2,2,3,1,2,2,1,1
951,1,36,3,9,2145,1,4,2,3,1,1,3,24,2,2,2,3,1,2,1,2
952,2,24,2,1,4113,3,2,3,2,1,4,3,28,2,1,1,3,1,1,1,2
953,4,36,2,2,10974,1,1,4,2,1,2,3,26,2,2,2,4,1,2,1,2
954,1,12,2,0,1893,1,3,4,2,3,4,2,29,2,2,1,3,1,2,1,1
955,1,24,4,3,1231,4,5,4,2,1,4,2,57,2,1,2,4,1,2,1,1
956,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,1,1
957,2,9,4,3,1154,1,5,2,3,1,4,1,37,2,2,3,2,1,1,1,1
958,1,28,2,0,4006,1,3,3,3,1,2,3,45,2,2,1,2,1,1,1,2
959,2,24,2,2,3069,2,5,4,3,1,4,4,30,2,3,1,3,1,1,1,1
960,4,6,4,3,1740,1,5,2,4,1,2,1,30,2,1,2,3,1,1,1,1
961,2,21,3,0,2353,1,3,1,1,1,4,2,47,2,2,2,3,1,1,1,1
962,4,15,2,0,3556,5,3,3,3,1,2,4,29,2,2,1,3,1,1,1,1
963,4,24,2,3,2397,3,5,3,3,1,2,3,35,1,2,2,3,1,2,1,2
964,2,6,2,5,454,1,2,3,4,1,1,2,22,2,2,1,2,1,1,1,1
965,2,30,2,3,1715,5,3,4,2,1,1,3,26,2,2,1,3,1,1,1,1
966,2,27,4,3,2520,3,3,4,3,1,2,2,23,2,2,2,2,1,1,1,2
967,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,1,2,1,1
968,4,42,2,3,7166,5,4,2,4,1,4,2,29,2,1,1,3,1,2,1,1
969,1,11,4,0,3939,1,3,1,3,1,2,1,40,2,2,2,2,2,1,1,1
970,2,15,2,5,1514,2,3,4,3,3,2,1,22,2,2,1,3,1,1,1,1
971,4,24,2,0,7393,1,3,1,3,1,4,2,43,2,2,1,2,2,1,1,1
972,1,24,1,0,1193,1,1,1,2,2,4,4,29,2,1,2,1,1,1,1,2
973,1,60,2,9,7297,1,5,4,3,2,4,4,36,2,1,1,3,1,1,1,2
974,4,30,4,3,2831,1,3,4,2,1,2,3,33,2,2,1,3,1,2,1,1
975,3,24,2,3,1258,3,3,3,2,1,3,3,57,2,2,1,2,1,1,1,1
976,2,6,2,3,753,1,3,2,2,3,3,1,64,2,2,1,3,1,1,1,1
977,2,18,3,9,2427,5,5,4,3,1,2,2,42,2,2,2,3,1,1,1,1
978,4,24,3,0,2538,1,5,4,3,1,4,3,47,2,2,2,2,2,1,1,2
979,2,15,1,0,1264,2,3,2,4,1,2,2,25,2,1,1,3,1,1,1,2
980,2,30,4,2,8386,1,4,2,3,1,2,2,49,2,2,1,3,1,1,1,2
981,4,48,2,9,4844,1,1,3,3,1,2,3,33,1,1,1,4,1,2,1,2
982,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,1,1
983,1,36,2,1,8229,1,3,2,3,1,2,2,26,2,2,1,3,2,1,1,2
984,4,24,4,2,2028,1,4,2,3,1,2,2,30,2,2,2,2,1,1,1,1
985,1,15,4,2,1433,1,3,4,2,1,3,2,25,2,1,2,3,1,1,1,1
986,3,42,0,9,6289,1,2,2,1,1,1,2,33,2,2,2,3,1,1,1,1
987,4,13,2,3,1409,2,1,2,2,1,4,1,64,2,2,1,3,1,1,1,1
988,1,24,2,1,6579,1,1,4,3,1,2,4,29,2,3,1,4,1,2,1,1
989,2,24,4,3,1743,1,5,4,3,1,2,2,48,2,2,2,2,1,1,1,1
990,4,12,4,6,3565,5,2,2,3,1,1,2,37,2,2,2,2,2,1,1,1
991,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,2,1,1,1
992,1,18,2,3,1936,5,4,2,4,1,4,3,23,2,1,2,2,1,1,1,1
993,1,36,2,2,3959,1,1,4,3,1,3,2,30,2,2,1,4,1,2,1,1
994,4,12,2,0,2390,5,5,4,3,1,3,3,50,2,2,1,3,1,2,1,1
995,4,12,2,2,1736,1,4,3,2,1,4,1,31,2,2,1,2,1,1,1,1
996,1,30,2,1,3857,1,3,4,1,1,4,2,40,2,2,1,4,1,2,1,1
997,4,12,2,3,804,1,5,4,3,1,4,3,38,2,2,1,3,1,1,1,1
998,1,45,2,3,1845,1,3,4,3,1,4,4,23,2,3,1,3,1,2,1,2
999,2,45,4,1,4576,2,1,3,3,1,4,3,27,2,2,1,3,1,1,1,1
